Timestamp,ESC_0_RPM,ESC_1_RPM,ESC_2_RPM,ESC_3_RPM,ESC_4_RPM,ESC_5_RPM,ESC_6_RPM,ESC_7_RPM
171284000,759,783,761,779,0,0,0,0
171532000,759,777,762,772,0,0,0,0
171788000,755,773,758,769,0,0,0,0
172036000,762,770,765,767,0,0,0,0
172288000,757,782,760,777,0,0,0,0
172532000,760,778,763,773,0,0,0,0
172788000,760,777,762,772,0,0,0,0
173036000,765,774,768,769,0,0,0,0
173288000,756,780,758,775,0,0,0,0
173536000,756,774,758,770,0,0,0,0
173788000,756,775,760,770,0,0,0,0
174036000,765,773,767,770,0,0,0,0
174288000,758,782,760,777,0,0,0,0
174536000,763,781,765,777,0,0,0,0
174788000,760,778,762,773,0,0,0,0
175036000,761,770,764,765,0,0,0,0
175288000,756,781,758,776,0,0,0,0
175536000,762,780,764,776,0,0,0,0
175788000,761,780,765,776,0,0,0,0
176036000,762,771,765,766,0,0,0,0
176288000,755,779,757,775,0,0,0,0
176536000,758,776,760,771,0,0,0,0
176788000,759,777,761,772,0,0,0,0
177036000,765,773,768,770,0,0,0,0
177288000,756,781,759,775,0,0,0,0
177536000,759,776,760,772,0,0,0,0
177788000,762,779,764,775,0,0,0,0
178036000,767,775,769,771,0,0,0,0
178288000,756,781,758,776,0,0,0,0
178536000,758,777,760,773,0,0,0,0
178788000,760,777,763,774,0,0,0,0
179036000,764,773,768,769,0,0,0,0
179284000,755,779,759,776,0,0,0,0
179536000,757,775,760,770,0,0,0,0
179788000,756,774,758,768,0,0,0,0
180036000,765,774,766,768,0,0,0,0
180288000,761,786,762,780,0,0,0,0
180532000,762,779,764,774,0,0,0,0
180788000,761,778,763,774,0,0,0,0
181036000,764,773,768,769,0,0,0,0
181288000,754,779,758,775,0,0,0,0
181532000,754,772,757,768,0,0,0,0
181788000,755,774,758,769,0,0,0,0
182036000,763,771,765,767,0,0,0,0
182288000,759,784,761,779,0,0,0,0
182536000,760,779,763,774,0,0,0,0
182788000,758,777,760,771,0,0,0,0
183036000,765,773,767,769,0,0,0,0
183284000,757,781,760,776,0,0,0,0
183536000,760,778,763,774,0,0,0,0
183788000,761,780,764,775,0,0,0,0
184036000,762,770,764,766,0,0,0,0
184288000,754,777,755,772,0,0,0,0
184532000,761,777,763,774,0,0,0,0
184788000,757,775,761,771,0,0,0,0
185036000,763,772,766,767,0,0,0,0
185288000,757,781,758,776,0,0,0,0
185536000,753,772,756,767,0,0,0,0
185788000,757,776,760,771,0,0,0,0
186036000,763,772,765,767,0,0,0,0
186288000,757,782,760,778,0,0,0,0
186532000,760,778,763,773,0,0,0,0
186788000,758,776,761,771,0,0,0,0
187036000,761,770,764,765,0,0,0,0
187284000,755,779,756,774,0,0,0,0
187536000,760,779,763,774,0,0,0,0
187788000,760,779,763,773,0,0,0,0
188036000,765,774,767,769,0,0,0,0
188288000,759,783,760,777,0,0,0,0
188532000,757,774,758,769,0,0,0,0
188788000,756,774,759,770,0,0,0,0
189036000,763,772,767,768,0,0,0,0
189288000,755,780,758,776,0,0,0,0
189536000,753,772,757,767,0,0,0,0
189788000,755,773,757,768,0,0,0,0
190036000,760,768,762,764,0,0,0,0
190288000,756,781,759,777,0,0,0,0
190532000,764,782,767,777,0,0,0,0
190788000,762,781,766,776,0,0,0,0
191036000,766,775,768,770,0,0,0,0
191288000,753,779,757,774,0,0,0,0
191532000,761,778,763,773,0,0,0,0
191788000,760,778,762,773,0,0,0,0
192036000,765,774,767,768,0,0,0,0
192284000,758,782,759,777,0,0,0,0
192532000,761,779,764,774,0,0,0,0
192788000,760,778,763,774,0,0,0,0
193036000,765,774,768,770,0,0,0,0
193284000,754,778,757,774,0,0,0,0
193532000,759,776,761,770,0,0,0,0
193788000,760,777,760,771,0,0,0,0
194036000,763,771,765,766,0,0,0,0
194284000,755,779,756,772,0,0,0,0
194536000,759,776,762,774,0,0,0,0
194788000,756,775,763,774,0,0,0,0
195036000,761,771,772,773,0,0,0,0
195284000,748,773,767,783,0,0,0,0
195532000,648,666,858,879,0,0,0,0
195788000,759,786,755,767,0,0,0,0
196036000,813,829,721,699,0,0,0,0
196284000,798,834,706,728,0,0,0,0
196536000,784,790,731,754,0,0,0,0
196788000,757,776,763,772,0,0,0,0
197036000,753,763,778,780,0,0,0,0
197288000,744,769,770,788,0,0,0,0
197536000,750,769,768,779,0,0,0,0
